B000944,Sherrod Brown
C000207,Wilburn Cartwright
C000225,Joseph Casey
C000489,Harold Claypool
C000535,Ernest Cluett
C000582,Harry Coffee
C000616,William Cole
C000642,Ross Collins
C000693,Lawrence Connery
C000768,Oren Copeland
C000948,Frank Crowther
D000050,Colgate Darden
D000108,Jacob Davis
D000475,Le Downs
D000480,Wall Doxey
D000536,Richard Duncan
E000041,Morris Edelstein
E000051,Andrew Edmiston
E000107,Thomas Eliot
E000132,Clyde Ellis
F000001,Charles Faddis
F000169,William Fitzgerald
F000183,Thomas Flaherty
F000192,John Flannery
F000240,Alonzo Folger
F000258,Aaron Ford
F000264,Leland Ford
G000118,Bernard Gehrmann
G000141,Peter Gerry
G000147,Lee Geyer
G000519,Joseph Guffey
H000026,Harry Haines
H000231,Vincent Harrington
H000294,Dow Harter
H000423,Arthur Healey
H000600,Knute Hill
H000709,Greg Holbrock
H000821,Andrew Houston
H000824,John Houston
H000983,John Hunter
I000010,Lawrence Imhoff
J000039,William Jacobsen
J000060,Benjamin Jarrett
J000090,Arthur Jenks
J000111,Joshua Johns
J000132,George Johnson
J000140,Hiram Johnson
K000112,Michael Kennedy
K000214,Samuel King
K000303,Leo Kocialkowski
K000321,Charles Kramer
L000005,Robert La Follette
L000100,William Larrabee
L000185,Charles Leavy
L000510,Alva Lumpkin
M000016,Anton Maciejewski
M000018,Lucien Maciora
M000088,Francis Maloney
M000231,Samuel Massingale
M000297,Joseph McArdle
M000484,John McIntyre
M000510,Raymond McKeough
M000538,Charles McLaughlin
M000615,James Mead
M000681,John Meyer
M000775,Newt Mills
M000805,Arthur Mitchell
M001026,Guy Moser
M001082,Orrice Murdock
N000006,Harry Narey
N000046,William Nelson
O000033,Caroline O’Day
P000011,George Paddock
P000159,Roger Peace
P000165,Herron Pearson
P000288,William Pheiffer
P000339,Walter Pierce
P000385,Vance Plauché
R000006,George Radcliffe
R000055,Jeannette Rankin
R000362,Lewis Rockefeller
R000405,Will Rogers
R000418,Milton Romjue
R000443,Joseph Rosier
R000546,Albert Rutherford
S000008,Leon Sacks
S000036,Jared Sanders
S000110,Edwin Schaefer
S000145,William Schulte
S000162,Pius Schwert
S000285,James Shanley
S000287,Joseph Shannon
S000369,Henrik Shipstead
S000433,Kenneth Simpson
S000532,Francis Smith
S000572,John Smith
S000591,Martin Smith
S000683,Charles South
S000724,George Spencer
S001086,William Sutphin
S001102,Martin Sweeney
T000072,Edward Taylor
T000124,Rudolph Tenerowicz
T000133,David Terry
T000153,Lewis Thill
T000283,George Tinkham
T000409,James Tunnell
V000121,Albert Vreeland
W000097,David Walsh
W000330,Burton Wheeler
W000494,Clyde Williams
W000563,Raymond Willis
Y000059,Oscar Youngdahl
N000030,Arthur Nelson
S000196,James Scrugham
S000381,Hugh Shott
B000046,Josiah Bailey
B000099,Joseph Ball
B000111,John Bankhead
B000874,Charles Brooks
B001013,Clayton Buck
B001072,Thomas Burchill
B001168,Harlan Bushfield
C000132,Louis Capozzoli
C000133,Arthur Capper
C000181,Chester Carrier
C000195,Albert Carter
C000290,Albert Chandler
C000661,C. Compton
C000795,John Costello
C000898,Edward Creal
C000968,Francis Culkin
C000970,Thomas Cullen
D000160,Stephen Day
D000292,Charles Dewey
D000349,LaVern Dilweg
D000353,Anthony Dimond
D000362,Wesley Disney
D000363,John Ditter
D000453,Fred Douglas
E000108,Joaquin Elizalde
E000141,Daniel Ellison
E000157,William Elmer
E000182,Harry Englebright
F000051,James Fay
F000142,Hamilton Fish
F000175,James Fitzpatrick
F000267,Thomas Ford
F000417,Hampton Fulmer
F000418,Willa Fulmer
F000432,Robert Furlong
G000014,Richard Gale
G000101,Joseph Gavagan
G000181,Fred Gilchrist
G000232,Carter Glass
G000415,Robert Green
G000538,Ulysses Guyer
H000260,Winder Harris
H000334,Carl Hatch
H000365,Albert Hawkes
J000073,Harry Jeffrey
J000121,Calvin Johnson
J000183,William Johnson
K000111,Martin Kennedy
K000257,Richard Kleberg
L000037,William Lambertson
L000291,Lawrence Lewis
M000001,Melvin Maas
M000360,Jim McCord
M000454,James McGranery
M000545,Donald McLean
M000579,Howard McMurray
M000583,Charles McNary
M000611,John McWilliams
M000661,Matthew Merritt
M000745,Louis Miller
M000756,Thomas Miller
M000855,Boleslaus Monkiewicz
M000895,Edward Moore
M000993,Cameron Morrison
M001058,Joseph Mruk
N000073,John Newsome
N000092,John Nichols
O000014,Joseph O’Brien
O000034,Wilbert O’Daniel
O000065,James O’Leary
P000013,Bolívar Pagán
P000142,Nat Patton
P000494,Charles Pracht
P000503,Joseph Pratt
R000320,Edward Robertson
R000406,William Rogers
R000413,Thomas Rolph
R000475,Edmund Rowe
S000079,Harry Sauthoff
S000105,Thomas Scanlon
S000126,Andrew Schiffler
S000144,Leonard Schuetz
S000580,Joseph Smith
S000798,Winifred Stanley
S000816,Joe Starnes
S000820,Henry Steagall
S000823,Foster Stearns
S000901,Arthur Stewart
S001058,Maurice Sullivan
T000172,John Thomas
T000358,Allen Treadway
T000384,William Troutman
V000100,Beverly Vincent
W000096,Arthur Walsh
W000130,David Ward
W000294,Elmer Wene
W000327,William Wheat
W000343,Benjamin Whelchel
W000396,Wallace White
W000483,Earle Willey
W000581,George Wilson
W000762,James Wright
H000080,Wilton Hall
J000026,Samuel Jackson
W000248,Sinclair Weeks
A000046,Sherman Adams
B000086,Harry Baldwin
B000093,Joseph Baldwin
B000191,William Barry
B000367,Augustus Bennet
B000640,Lyle Boren
B000743,Michael Bradley
B000828,Frank Briggs
B000976,David Brumbaugh
B001061,Berkeley Bunker
B001084,William Burgin
C000085,Howard Campbell
C000115,Arthur Cannon
C000211,Edward Carville
C000565,John Cochran
C000584,John Coffee
C000996,James Curley
D000067,Ralph Daughton
D000206,Emerson De Lacy
D000335,Samuel Dickstein
D000414,Forrest Donnell
D000452,Emily Douglas
D000469,Sheridan Downey
E000016,Harold Earthman
E000210,Joseph Ervin
G000019,William Gallagher
G000051,Edward Gardner
G000117,James Geelan
G000163,John Gibson
G000194,Dean Gillespie
G000337,Charles Gossett
G000532,John Gurney
H000146,Clarence Hancock
H000200,Butler Hare
H000293,Thomas Hart
H000426,Ned Healy
H000450,James Heidinger
H000515,Robert Henry
H000668,Daniel Hoch
H000682,Carl Hoffman
H000741,Pehr Holmes
H000757,Frank Hook
H000913,James Huffman
I000052,Edouard Izac
J000150,Jed Johnson
J000159,Luther Johnson
K000071,Edward Kelly
K000231,John Kinzer
K000315,Herman Kopplemann
L000003,Charles La Follette
L000076,Fritz Lanham
L000334,William Link
L000493,Scott Lucas
L000497,Clare Luce
M000091,Paul Maloney
M000097,Helen Mankin
M000272,Andrew May
M000446,Daniel McGehee
M000451,Herbert McGlinchey
M000504,Charles McKenzie
M001029,John Moses
M001040,James Mott
M001099,John Murphy
M001127,Francis Myers
O000029,James O’Connor
O000089,Emmet O’Neal
O000137,George Outland
O000146,John Overton
P000105,Luther Patrick
P000113,Ellis Patterson
P000260,Hugh Peterson
P000371,William Pittenger
P000361,Jesús Piñero
P000488,David Powers
P000498,Eliza Pratt
Q000019,Peter Quinn
R000032,Robert Ramspeck
R000112,Clyde Reed
R000163,Alexander Resa
R000341,James Robinson
R000373,Robert Rodgers
R000381,Dudley Roe
R000382,James Roe
R000394,George Rogers
R000419,Carlos Romulo
R000473,William Rowan
R000538,Sam Russell
R000565,Joseph Ryter
S000069,Dave Satterfield
S000080,Charles Savage
S000293,Edgar Sharp
S000342,John Sheridan
S000481,Roger Slaughter
S000668,John Snyder
S000792,William Stanfill
S000812,Frank Starkey
S000918,Paul Stewart
S001071,Jessie Sumner
S001072,Hatton Sumners
T000018,Joseph Talbot
T000045,Malcolm Tarver
T000079,Glen Taylor
T000155,William Thom
T000164,Elbert Thomas
T000177,John Thomas
T000295,John Tolan
T000315,James Torrens
T000357,Philip Traynor
T000446,Millard Tydings
V000118,Horace Voorhis
W000021,Robert Wagner
W000183,Thaddeus Wasielewski
W000230,Zebulon Weaver
W000257,Samuel Weiss
W000645,Thomas Winter
W000678,James Wolfenden
W000720,Clifton Woodrum
T000387,Harry Truman
B000095,Raymond Baldwin
B001069,Thomas Burch
C000021,Harry Cain
S001117,George Swift
T000008,Kingsley Taft
U000005,William Umstead
A000163,James Almond
A000250,Walter Andrews
A000296,Samuel Arnold
B000119,Parke Banta
B000332,Charles Bell
B000379,Marion Bennett
B000742,Frederick Bradley
B000750,Willis Bradley
B000816,Ralph Brewster
B000891,John Brophy
B001016,Ellsworth Buck
B001096,Raymond Burke
C000192,Henderson Carson
C000268,E. Chadwick
C000439,Jerome Clark
C000473,Charles Clason
C000529,Roy Clippinger
C000590,Howard Coffin
C000684,Thomas Connally
C000810,William Courtney
C000887,William Cravens
C000939,William Crow
D000007,Thomas D’Alesandro
D000212,John Delaney
D000280,Edward Devitt
D000406,James Domengeaux
D000496,Patrick Drewry
E000037,Zales Ecton
E000119,Alfred Elliott
E000135,Hubert Ellis
E000159,Edward Elsaesser
F000191,John Flannagan
F000199,Charles Fletcher
F000241,John Folger
F000250,Ellsworth Foote
F000404,Hadwen Fuller
G000017,James Gallagher
G000111,Bertrand Gearhart
G000135,Charles Gerlach
G000169,Charles Gifford
G000207,George Gillie
G000253,Abe Goff
G000384,Robert Grant
G000472,Percy Griffiths
G000493,Chester Gross
G000543,John Gwynne
H000212,Richard Harless
H000217,Forest Harness
H000298,Fred Hartley
H000492,Joseph Hendricks
H000863,George Howell
I000046,Leo Isacson
J000058,Peterson Jarman
J000086,Mitchell Jenkins
J000117,Anton Johnson
J000133,Glen Johnson
J000165,Noble Johnson
J000225,Homer Jones
J000249,Robert Jones
J000264,Bartel Jonkman
K000082,James Kem
K000301,Harold Knutson
L000052,Gerald Landis
L000163,Clarence Lea
L000279,Earl Lewis
L000296,William Lewis
L000394,Henry Lodge
L000454,Francis Love
L000501,Louis Ludlow
L000519,Georgia Lusk
M000027,George MacKinnon
M000089,Franklin Maloney
M000094,Carter Manasco
M000112,Joseph Mansfield
M000233,Frank Mathews
M000374,Edward McCowen
M000422,John McDowell
M000438,Ernest McFarland
M000442,Robert McGarvey
M000456,James McGrath
M000499,Kenneth McKellar
M000560,Gregory McMahon
M000617,Hugh Meade
M000619,Wendell Meade
M000764,William Miller
M000809,Edward Mitchell
M001062,Frederick Muhlenberg
N000121,Robert Nodar
N000135,Fred Norman
O000032,Herbert O’Conor
O000160,Thomas Owens
P000182,Preston Peden
P000387,Walter Ploeser
P000471,David Potts
P000524,Emory Price
R000002,Benjamin Rabin
R000022,Homer Ramey
R000083,Leo Rayfiel
R000137,Albert Reeves
R000288,Ross Rizley
R000319,Charles Robertson
R000358,John Robsion
R000369,Robert Rockwell
R000410,Edward Rohrbough
R000522,Charles Russell
S000063,George Sarbacher
S000156,Max Schwabe
S000163,James Scoblick
S000670,Melvin Snyder
S000755,Raymond Springer
S000896,William Stevenson
S000998,William Stratton
S001076,Frank Sundstrom
T000189,Robert Thomason
T000263,Harve Tibbott
T000444,Robert Twyman
V000025,Arthur Vandenberg
W000304,Milton West
Y000058,Harold Youngblood
Z000009,Orville Zimmerman
B000894,Joseph Broughton
B001169,Vera Bushfield
F000057,William Feazel
B000232,George Bates
B000399,William Benton
B000448,Andrew Biemiller
B000545,Schuyler Bland
B000565,Sol Bloom
B000609,William Bolton
B001028,James Buckley
B001056,Alfred Bulwinkle
B001100,Thomas Burke
C000259,Anthony Cavalcante
C000317,Virgil Chapman
C000347,Chester Chesney
C000390,Ralph Church
C000586,Robert Coffey
C000774,Guy Cordon
C000926,Thurman Crook
D000048,Harry Darby
D000071,Harry Davenport
D000089,John Davies
D000454,Helen Douglas
D000522,John Dulles
E000178,Albert Engel
F000081,Homer Ferguson
G000205,Guy Gillette
G000219,William Gilmer
G000331,Chester Gorski
G000332,Martin Gorski
G000353,Frank Graham
G000521,Ben Guill
H000202,James Hare
H000495,Robert Hendrickson
H000663,Samuel Hobbs
H000898,Walter Huber
H000975,Lester Hunt
J000034,Andrew Jacobs
J000096,John Jennings
J000127,Edwin Johnson
K000012,Raymond Karst
K000041,Frank Keefe
K000334,Edward Kruse
L000161,Jay Le Fevre
L000173,Edward Leahy
L000238,William Lemke
L000251,John Lesinski
L000301,Franklin Lichtenwalter
L000332,Neil Linehan
L000395,John Lodge
L000537,Walter Lynch
M000037,William Macy
M000122,Vito Marcantonio
M000144,John Marsalis
M000279,Burnet Maybank
M000574,Rolla McMillen
M000606,John McSweeney
M000680,Herbert Meyer
M000693,Earl Michener
M000705,John Miles
M000716,Bert Miller
N000129,James Noland
N000153,Mary Norton
O000122,Eugene O’Sullivan
P000002,Stephen Pace
P000261,James Peterson
P000285,Joseph Pfeifer
P000286,William Pfeiffer
P000306,Dayton Phillips
P000395,Charles Plumley
R000209,Robert Rich
S000011,George Sadowski
S000029,John Sanborn
S000439,Hugo Sims
S000536,Frederick Smith
S000676,Andrew Somers
T000056,Anthony Tauriello
T000175,John Thomas
W000012,James Wadsworth
W000019,Earl Wagner
W000100,John Walsh
W000265,Richard Welch
W000344,Kenneth Wherry
W000359,Cecil White
W000361,Compton White
W000430,William Whittington
W000582,George Wilson
W000714,Chase Woodhouse
W000744,Francis Worley
C000506,Earle Clements
S000639,Willis Smith
A000001,Fred Aandahl
A000114,Asa Allen
A000196,John Anderson
A000218,Orland Armstrong
B000080,Claude Bakewell
B000237,Joseph Bates
B000515,William Blackney
B000649,Reva Bosone
B000792,Edward Breen
B000794,Walter Brehm
B001002,Frank Buchanan
B001039,Howard Buffett
B001148,Clarence Burton
B001179,John Butler
B001214,William Byrne
C000504,Louis Clemente
C000606,Albert Cole
C000655,Jesse Combs
C000831,Edward Cox
C000889,Fred Crawford
D000249,Harmar Denny
D000448,Robert Doughton
D000516,James Duff
E000023,Charles Eaton
E000160,Charles Elston
F000066,Frank Fellows
F000399,Thomas Fugate
F000431,John Furcolo
G000131,Walter George
G000206,Wilson Gillette
G000338,Ed Gossett
G000379,Walter Granger
G000438,Ernest Greenwood
H000050,Edwin Hall
H000060,Leonard Hall
H000356,Franck Havenner
H000442,Erland Hedrick
H000443,James Heffernan
H000548,Christian Herter
H000679,Clyde Hoey
I000037,Theodore Irving
J000080,Edward Jenison
J000224,Hamilton Jones
K000039,John Kee
K000138,John Kerr
L000095,Henry Larcade
L000224,Herbert Lehman
L000318,James Lind
M000045,Clare Magee
M000308,Patrick McCarran
M000455,Christopher McGrath
M000465,John McGuire
M000528,Clinton McKinnon
M000559,Brien McMahon
M000577,Chester McMullen
M000771,Eugene Millikin
M000814,Hugh Mitchell
M000878,Arthur Moody
M001081,John Murdock
M001094,James Murphy
M001112,Reid Murray
O000095,Harry O’Neill
O000133,Donald O’Toole
P000327,Thomas Pickett
Q000021,Thomas Quinn
R000025,Robert Ramsay
R000056,John Rankin
R000104,Monroe Redden
R000453,Robert Ross
S000001,Adolph Sabath
S000067,Lansdale Sasscer
S000155,George Schwabe
S000172,Hardie Scott
S000214,Frederick Seaton
S000461,Edward Sittler
S000845,Karl Stefan
S000923,William Stigler
S000936,Lowell Stockman
S001056,John Sullivan
T000005,Boyd Tackett
T000009,Robert Taft
T000289,Charles Tobey
T000320,Harry Towe
U000015,Thomas Underwood
V000003,Richard Vail
V000077,Albert Vaughn
W000264,Philip Welch
W000269,Herman Welker
W000298,Thomas Werdel
W000348,John Whitaker
W000699,John Wood
W000700,John Wood
W000718,Roy Woodruff
D000198,Edward deGraffenried
G000481,Dwight Griswold
P000460,Charles Potter
A000257,Homer Angell
B000176,Frank Barrett
B000242,Laurie Battle
B000486,Cecil Bishop
B000618,Edward Bonin
B000762,Ernest Bramblett
B000820,John Bricker
B000999,Joseph Bryson
B001099,Thomas Burke
B001161,Fred Busbey
B001177,Hugh Butler
C000070,Albert Camp
C000080,Courtney Campbell
C000416,Kit Clardy
C000614,William Cole
C000674,Robert Condon
C000932,Robert Crosser
D000281,Wesley D’Ewart
D000036,Marion Daniel
F000034,Joseph Farrington
F000190,Ralph Flanders
G000258,James Golden
G000297,Angier Goodwin
G000360,Louis Graham
H000014,Harold Hagen
H000284,Edward Hart
H000460,Louis Heller
H000616,Jeffrey Hillelson
H000858,Charles Howell
H000943,Merlin Hull
H000979,Allan Hunter
I000050,Irving Ives
J000093,William Jenner
J000207,Edgar Jonas
K000150,Charles Kersten
K000176,Harley Kilgore
K000292,William Knowland
L000070,William Langer
L000089,William Lantaff
L000496,Wingate Lucas
L000525,John Lyle
M000086,George Malone
M000177,Edward Martin
M000315,Joseph McCarthy
M000656,D. Merrill
M000729,Howard Miller
O000009,George O’Brien
O000004,Charles Oakman
P000107,Harold Patten
P000150,Frederick Payne
P000475,C. Poulson
P000575,William Purtell
R000100,Henry Reams
R000140,Kenneth Regan
R000391,Dwight Rogers
R000425,Franklin Roosevelt
S000277,Paul Shafer
S000499,Frank Small
S000553,Howard Smith
S000797,Thomas Stanley
S001006,Douglas Stringfellow
S001087,James Sutton
T000259,Edward Thye
U000032,Robert Upton
W000123,Herbert Warburton
W000190,Arthur Watkins
W000252,Alvin Weichel
W000342,William Wheeler
W000604,Joseph Wilson
W000658,Garrett Withers
Y000024,Samuel Yorty
A000010,Hazel Abel
B000356,George Bender
B000709,Eva Bowring
B000913,Ernest Brown
C000906,Edward Crippa
D000031,Charles Daniel
O000088,Joseph O’Mahoney
R000180,Samuel Reynolds
S000187,William Scott
B000145,Alben Barkley
B000342,John Bell
B000823,Henry Bridges
B001009,Vera Buchanan
B001131,Maurice Burnside
C000156,Frank Carlyle
C000327,Jackson Chase
C000336,Richard Chatham
C000743,Samuel Coon
C000960,Shepard Crumpacker
D000083,Irwin Davidson
D000175,Charles Deane
D000354,John Dingell
D000403,James Dolliver
D000411,George Dondero
D000421,James Donovan
E000146,Mathew Ellsworth
F000035,Mary Farrington
F000085,Antonio Fernández
F000126,Sidney Fine
F000179,Orvin Fjare
F000356,Joseph Frear
G000031,Ralph Gamble
G000124,Brady Gentry
G000369,William Granahan
G000418,Theodore Green
H000154,Thomas Hand
H000412,Donald Hayworth
H000640,John Hinshaw
H000689,Richard Hoffman
H000768,Clifford Hope
J000157,Justin Johnson
J000263,Woodrow Jones
K000208,Karl King
K000261,Arthur Klein
L000468,Harold Lovre
M000199,Thomas Martin
M001107,James Murray
M001108,James Murray
N000023,Matthew Neely
N000031,Charles Nelson
N000053,Richard Neuberger
P000309,John Phillips
P000536,James Priest
R000111,Chauncey Reed
R000214,James Richards
S000377,Dewey Short
T000216,Ruth Thompson
T000408,Thomas Tumulty
V000082,Harold Velde
W000668,Jesse Wolcott
Y000032,Clarence Young
H000963,Robert Humphreys
L000025,William Laird
R000167,William Revercomb
W000666,Thomas Wofford
A000133,John Allen
A000239,August Andresen
B000276,John Beamer
B000698,James Bowler
B000964,Charles Brownson
B001079,Usher Burdick
B001167,Prescott Bush
B001180,John Butler
B001211,Emmet Byrne
C000128,Homer Capehart
C000182,Joseph Carrigg
C000189,John Carroll
C000221,Francis Case
C000386,Earl Chudoff
C000515,Cliff Clevenger
C000617,William Cole
C000755,Jere Cooper
C000804,Frederic Coudert
C000905,Albert Cretella
C000993,Paul Cunningham
D000155,William Dawson
D000219,Vincent Dellay
D000228,John Dempsey
D000246,David Dennison
D000278,James Devereux
D000338,Martin Dies
E000029,Herman Eberharter
G000129,Myron George
G000316,Thomas Gordon
G000447,Noble Gregory
G000541,Ralph Gwinn
H000036,Robert Hale
H000182,Cecil Harden
H000275,Robert Harrison
H000318,Harry Haskell
H000405,Lawrence Hays
H000502,Thomas Hennings
H000549,John Heselton
H000613,William Hill
H000623,Patrick Hillings
H000740,Otis Holmes
H001021,DeWitt Hyde
J000045,Benjamin James
J000088,Thomas Jenkins
K000029,Robert Kean
K000030,Bernard Kearney
K000042,Russell Keeney
K000058,Augustine Kelley
K000300,Coya Knutson
K000332,Otto Krueger
L000077,Henderson Lanham
L000108,Henry Latham
L000157,Karl Le Compte
L000416,George Long
M000274,Edwin May
M000354,Samuel McConnell
M000460,J. McGregor
M000483,Robert McIntosh
M000609,William McVey
M000715,Arthur Miller
M000724,Edward Miller
M000935,Albert Morano
N000017,William Neal
N000097,Donald Nicholson
N000110,F. Nimtz
O000056,Joseph O’Hara
P000119,James Patterson
R000008,Edmund Radwan
R000329,Edward Robeson
R000359,John Robsion
S000009,Antoni Sadlak
S000194,Errett Scrivner
S000198,Hubert Scudder
S000315,Timothy Sheehan
S000390,George Shuford
S000405,Alfred Sieminski
S000437,Sidney Simpson
S000585,Lawrence Smith
S000819,Simon Stauffer
T000028,Henry Talle
T000139,Donald Tewes
V000119,John Vorys
V000125,Charles Vursell
W000450,Richard Wigglesworth
W000465,Alexander Wiley
W000549,William Williams
W000683,Charles Wolverton
H000665,John Hoblitzell
A000138,Leo Allen
A000200,LeRoy Anderson
B000139,Graham Barden
B000170,Joseph Barr
B000245,Albert Baumhart
B000271,James Beall
B000391,Alvin Bentley
B000646,Albert Bosch
B000699,Chester Bowles
B000727,Charles Boyle
B000849,Lawrence Brock
B000908,Charles Brown
B000940,Paul Brown
B000982,Clarence Brunsdale
B001035,Hamer Budge
B001127,John Burns
B001165,Alvin Bush
B001208,Harry Byrd
C000113,Gordon Canfield
C000162,Albert Carnahan
C000199,Steven Carter
C000338,Dennis Chavez
C000383,George Christopher
C000589,Frank Coffin
D000368,Henry Dixon
D000402,Isidore Dollinger
D000433,Francis Dorn
D000571,Carl Durham
E000121,Douglas Elliott
E000181,Clair Engle
F000227,Gerald Flynn
F000237,John Foley
F000255,Aime Forand
G000130,Newell George
H000048,David Hall
H000204,Denver Hargis
H000216,Randall Harmon
H000484,John Henderson
H000550,William Hess
H000690,Earl Hogan
H000746,Joseph Holt
J000008,Donald Jackson
J000119,Byron Johnson
K000015,George Kasem
K000036,Kenneth Keating
L000018,John Lafore
L000260,Robert Levering
L000425,Oren Long
M000021,Russell Mack
M000449,Donald McGinley
M000682,William Meyer
M000759,Ward Miller
M000812,Harlan Mitchell
M000991,Toby Morris
O000074,James Oliver
P000408,James Polk
P000439,Charles Porter
P000516,Prince Preston
P000549,Stanley Prokop
Q000012,James Quigley
R000113,Daniel Reed
R000132,Edward Rees
R000392,Edith Rogers
S000430,Edna Simpson
S000436,Richard Simpson
S000640,Wint Smith
T000070,Dean Taylor
T000118,Ludwig Teller
T000229,Edwin Thomson
W000024,Stuyvesant Wainwright
W000120,Fred Wampler
W000446,Roy Wier
W000663,Gardner Withrow
W000675,Leonard Wolf
L000520,Hall Lusk
N000052,Maurine Neuberger
S000517,Benjamin Smith
A000054,Hugh Addonizio
A000094,Hugh Alexander
A000105,Thomas Alford
A000179,Herman Andersen
A000255,Victor Anfuso
B000035,Cleveland Bailey
B000222,Perkins Bass
B000536,William Blakley
B000561,Iris Blitch
B000725,Frank Boykin
B000791,James Breeding
B000884,Overton Brooks
B001090,Frank Burke
C000365,Robert Chiperfield
C000389,Marguerite Church
C000540,Merwin Coad
C000725,Robert Cook
C001011,Laurence Curtis
D000109,James Davis
D000425,Edwin Dooley
D000456,Paul Douglas
D000575,Edwin Durno
D000585,Henry Dworshak
F000075,Ivor Fenton
F000353,James Frazier
G000069,Peter Garland
G000368,Kathryn Granahan
H000264,Burr Harrison
H000561,John Hickey
H000568,Edgar Hiestand
H000683,Clare Hoffman
H000753,Lester Holtzman
I000007,Frank Ikard
J000176,Thomas Johnson
J000278,Walter Judd
K000032,Carroll Kearns
K000044,Carey Kefauver
K000144,Robert Kerr
K000171,Paul Kilday
K000249,Alvin Kitchin
K000320,Frank Kowalski
L000065,Thomas Lane
L000446,Joseph Loser
M000014,Thaddeus Machrowicz
M000020,Peter Mack
M000052,Donald Magnuson
M000152,Fred Marshall
M000224,Noah Mason
M000414,Gordon McDonough
M000582,Patrick McNamara
M000605,Harold McSween
M000608,Walter McVey
M000664,Chester Merrow
M000719,Clement Miller
M000927,Tom Moorehead
M001045,Morgan Moulder
M001077,Walter Mumma
M001100,Maurice Murphy
N000136,Catherine Norrell
N000137,William Norrell
P000264,Morris Peterson
P000287,Gracie Pfost
R000001,Louis Rabaut
R000077,John Ray
R000082,Samuel Rayburn
R000108,Brazilla Reece
R000109,Louise Reece
R000259,Corinne Riley
R000260,John Riley
R000317,Absalom Robertson
R000547,J. Rutherford
S000021,Leverett Saltonstall
S000057,Alfred Santangelo
S000075,Dalip Saund
S000120,Gordon Scherer
S000138,Andrew Schoeppel
S000193,William Scranton
S000224,Horace Seely-Brown
S000533,Frank Smith
S000717,Brent Spence
T000001,John Taber
U000002,Stewart Udall
V000069,James Van Zandt
W000228,Phillip Weaver
W000256,Jessica Weis
Z000003,Herbert Zelenko
K000107,John Kennedy
B000656,Joseph Bottum
M000623,Edwin Mechem
S000434,Milward Simpson
A000011,Homer Abele
A000106,Bruce Alger
A000227,James Auchincloss
A000228,William Avery
B000062,Howard Baker
B000064,Irene Baker
B000190,Robert Barry
B000292,Frank Becker
B000310,Ralph Beermann
B000377,John Bennett
B000608,Oliver Bolton
B000813,Daniel Brewster
B000867,James Bromwell
B000969,Donald Bruce
B001024,Charles Buckley
B001104,Everett Burkhalter
C000117,Clarence Cannon
C000154,Frank Carlson
C000346,John Chenoweth
C000444,Joseph Clark
D000094,Clifford Davis
D000266,Steven Derounian
D000360,Everett Dirksen
D000481,Clyde Doyle
E000055,James Edmondson
E000120,Carl Elliott
F000087,Antonio Fernós-Isern
F000135,Edward Finnegan
F000283,Elijah Forrester
G000091,Julian Gary
G000102,Leon Gavin
G000192,Thomas Gill
G000237,Milton Glenn
G000381,George Grant
G000421,William Green
G000508,Ernest Gruening
H000191,Ralph Harding
H000385,Carl Hayden
H000424,James Healey
H000471,Robert Hemphill
H000559,Bourke Hickenlooper
H000598,Joseph Hill
H000678,Charles Hoeven
H000684,Elmer Hoffman
H000786,Walter Horan
H000904,George Huddleston
J000100,Benton Jensen
J000109,August Johansen
J000158,Lester Johnson
J000195,Olin Johnston
K000040,Maude Kee
K000170,Clarence Kilburn
K000177,Joe Kilgore
K000298,Victor Knox
K000335,Thomas Kuchel
L000081,Richard Lankford
L000122,Frank Lausche
L000252,John Lesinski
L000299,Roland Libonati
L000415,Edward Long
M000197,Patrick Martin
M000478,Clifford McIntire
M000558,Robert McLoskey
M000620,George Meader
M000762,William Miller
M000770,William Milliken
M000859,Almer Monroney
M001014,Wayne Morse
M001022,Thruston Morton
N000133,Albin Norblad
N000178,Hjalmar Nygaard
O000016,Thomas O’Brien
O000120,Frank Osmers
O000121,Harold Ostertag
P000349,John Pilcher
P000352,John Pillion
R000018,Albert Rains
R000206,Carl Rich
R000250,Roy Riehlman
R000314,Kenneth Roberts
R000556,Harold Ryan
S000117,Paul Schenck
S000327,John Shelley
S000335,Harry Sheppard
S000378,Don Short
S000395,Abner Sibal
S000408,Eugene Siler
S000505,George Smathers
S000764,Katharine St. George
S000775,Neil Staebler
S000928,K. Stinson
T000237,William Thornberry
T000298,Thor Tollefson
V000051,William Van Pelt
V000105,Carl Vinson
W000089,George Wallhauser
W000108,Francis Walter
W000110,Herbert Walters
W000226,James Weaver
W000310,Alfred Westland
W000323,James Wharton
W000439,Victor Wickersham
W000572,Earl Wilson
W000641,William Winstead
J000160,Lyndon Johnson
B000223,Ross Bass
S000016,Pierre Salinger
A000204,Arthur Andrews
B000092,John Baldwin
B000108,Bert Bandstra
B000296,Lindley Beckworth
B000621,Herbert Bonner
B000909,Clarence Brown
C000054,Clair Callan
C000055,Howard Callaway
C000067,Ronald Cameron
C000342,Frank Chelf
C000516,Raymond Clevenger
C000736,Harold Cooley
C000866,Nathaniel Craley
C001005,Willard Curtin
D000004,Paul Dague
D000260,Winfield Denton
D000390,Thomas Dodd
D000588,Kenneth Dyal
E000148,Robert Ellsworth
F000023,Charles Farnsley
F000025,Billie Farnum
G000208,John Gilligan
